Article,Vital_Level,Vital_Category,Level_Quota,SubPage_Quota
Sétif,5,Cities,5200,2000
"Tacoma, Washington",5,Cities,5200,2000
"Taizhou, Zhejiang",5,Cities,5200,2000
Talca,5,Cities,5200,2000
"Tallahassee, Florida",5,Cities,5200,2000
"Tampa, Florida",5,Cities,5200,2000
Tampico,5,Cities,5200,2000
Tangier,5,Cities,5200,2000
Tangshan,5,Cities,5200,2000
Tanta,5,Cities,5200,2000
Taraz,5,Cities,5200,2000
Temuco,5,Cities,5200,2000
Teresina,5,Cities,5200,2000
The Bronx,5,Cities,5200,2000
Thiès,5,Cities,5200,2000
Tlalnepantla de Baz,5,Cities,5200,2000
Toamasina,5,Cities,5200,2000
Tobruk,5,Cities,5200,2000
"Toledo, Ohio",5,Cities,5200,2000
Toluca,5,Cities,5200,2000
"Topeka, Kansas",5,Cities,5200,2000
Torreón,5,Cities,5200,2000
Touba,5,Cities,5200,2000
Town square,5,Cities,5200,2000
Transit-oriented development,5,Cities,5200,2000
Transportation planning,5,Cities,5200,2000
"Trenton, New Jersey",5,Cities,5200,2000
"Trujillo, Peru",5,Cities,5200,2000
Tshikapa,5,Cities,5200,2000
"Tucson, Arizona",5,Cities,5200,2000
"Tulsa, Oklahoma",5,Cities,5200,2000
"Tuskegee, Alabama",5,Cities,5200,2000
Tuxtla Gutiérrez,5,Cities,5200,2000
Türkmenabat,5,Cities,5200,2000
Umuahia,5,Cities,5200,2000
Urban area,5,Cities,5200,2000
Urban decay,5,Cities,5200,2000
Urban park,5,Cities,5200,2000
Urban renewal,5,Cities,5200,2000
Urban sprawl,5,Cities,5200,2000
Urban studies,5,Cities,5200,2000
Urbanism,5,Cities,5200,2000
Ushuaia,5,Cities,5200,2000
Uyo,5,Cities,5200,2000
Valledupar,5,Cities,5200,2000
"Victoria, British Columbia",5,Cities,5200,2000
"Victoria, Seychelles",5,Cities,5200,2000
Villahermosa,5,Cities,5200,2000
Villavicencio,5,Cities,5200,2000
"Virginia Beach, Virginia",5,Cities,5200,2000
"Vitória, Espírito Santo",5,Cities,5200,2000
Viña del Mar,5,Cities,5200,2000
Wad Madani,5,Cities,5200,2000
Walkability,5,Cities,5200,2000
Wall Street,5,Cities,5200,2000
Walvis Bay,5,Cities,5200,2000
Warri,5,Cities,5200,2000
Weihai,5,Cities,5200,2000
Wenzhou,5,Cities,5200,2000
White flight,5,Cities,5200,2000
Whitehorse,5,Cities,5200,2000
"Wichita, Kansas",5,Cities,5200,2000
Willemstad,5,Cities,5200,2000
"Windsor, Ontario",5,Cities,5200,2000
Winnipeg,5,Cities,5200,2000
"Winston-Salem, North Carolina",5,Cities,5200,2000
"Worcester, Massachusetts",5,Cities,5200,2000
Wuxi,5,Cities,5200,2000
Xalapa,5,Cities,5200,2000
Xiangtan,5,Cities,5200,2000
"Xicheng, Beijing",5,Cities,5200,2000
Xingtai,5,Cities,5200,2000
Xinxiang,5,Cities,5200,2000
Xuzhou,5,Cities,5200,2000
Yamoussoukro,5,Cities,5200,2000
Yangquan,5,Cities,5200,2000
Yangzhou,5,Cities,5200,2000
Yantai,5,Cities,5200,2000
"Yichun, Heilongjiang",5,Cities,5200,2000
Yingkou,5,Cities,5200,2000
Yiwu,5,Cities,5200,2000
"Yola, Nigeria",5,Cities,5200,2000
Yueyang,5,Cities,5200,2000
Zanzibar City,5,Cities,5200,2000
Zaozhuang,5,Cities,5200,2000
Zapopan,5,Cities,5200,2000
Zaria,5,Cities,5200,2000
"Zawiya, Libya",5,Cities,5200,2000
Zhangjiajie,5,Cities,5200,2000
Zhangjiakou,5,Cities,5200,2000
Zhanjiang,5,Cities,5200,2000
Zhaoqing,5,Cities,5200,2000
Zhenjiang,5,Cities,5200,2000
Zhongshan,5,Cities,5200,2000
Zhuhai,5,Cities,5200,2000
Zhuzhou,5,Cities,5200,2000
Zibo,5,Cities,5200,2000
Ziguinchor,5,Cities,5200,2000
Zinder,5,Cities,5200,2000
Zliten,5,Cities,5200,2000
"Abadan, Iran",5,Cities,5200,2000
Abakan,5,Cities,5200,2000
Abha,5,Cities,5200,2000
Adapazarı,5,Cities,5200,2000
Agartala,5,Cities,5200,2000
Ahmednagar,5,Cities,5200,2000
Aizawl,5,Cities,5200,2000
Ajman,5,Cities,5200,2000
Ajmer,5,Cities,5200,2000
Akita (city),5,Cities,5200,2000
Akola,5,Cities,5200,2000
Al-Kharj,5,Cities,5200,2000
Al Ain,5,Cities,5200,2000
Al Diwaniyah,5,Cities,5200,2000
Aligarh,5,Cities,5200,2000
Alor Setar,5,Cities,5200,2000
Alwar,5,Cities,5200,2000
Amarah,5,Cities,5200,2000
Amaravati,5,Cities,5200,2000
Ambattur,5,Cities,5200,2000
"Ambon, Maluku",5,Cities,5200,2000
Amol,5,Cities,5200,2000
Amravati,5,Cities,5200,2000
Angeles City,5,Cities,5200,2000
Antipolo,5,Cities,5200,2000
Aomori,5,Cities,5200,2000
Aqaba,5,Cities,5200,2000
"Arak, Iran",5,Cities,5200,2000
Ardabil,5,Cities,5200,2000
Arkhangelsk,5,Cities,5200,2000
Asahikawa,5,Cities,5200,2000
Asan,5,Cities,5200,2000
Asansol,5,Cities,5200,2000
Ashdod,5,Cities,5200,2000
Astrakhan,5,Cities,5200,2000
Aurangabad,5,Cities,5200,2000
Avadi,5,Cities,5200,2000
Ayodhya,5,Cities,5200,2000
Az Zubayr,5,Cities,5200,2000
Babol,5,Cities,5200,2000
Babruysk,5,Cities,5200,2000
Bacolod,5,Cities,5200,2000
"Bago, Myanmar",5,Cities,5200,2000
Baguio,5,Cities,5200,2000
Bahawalpur,5,Cities,5200,2000
Balikpapan,5,Cities,5200,2000
Ballari,5,Cities,5200,2000
Banda Aceh,5,Cities,5200,2000
Bandar Abbas,5,Cities,5200,2000
Bandar Lampung,5,Cities,5200,2000
Bandar Seri Begawan,5,Cities,5200,2000
Banja Luka,5,Cities,5200,2000
Banjarbaru,5,Cities,5200,2000
Banjarmasin,5,Cities,5200,2000
Baoji,5,Cities,5200,2000
Baqubah,5,Cities,5200,2000
Bardhaman,5,Cities,5200,2000
Bareilly,5,Cities,5200,2000
Barisal,5,Cities,5200,2000
Barnaul,5,Cities,5200,2000
Batam,5,Cities,5200,2000
Bathinda,5,Cities,5200,2000
Battambang,5,Cities,5200,2000
Batumi,5,Cities,5200,2000
Beersheba,5,Cities,5200,2000
Bekasi,5,Cities,5200,2000
Belgaum,5,Cities,5200,2000
Bengkulu (city),5,Cities,5200,2000
Berhampore,5,Cities,5200,2000
Berhampur,5,Cities,5200,2000
Bethlehem,5,Cities,5200,2000
Bhagalpur,5,Cities,5200,2000
"Bharatpur, Nepal",5,Cities,5200,2000
Bhatpara,5,Cities,5200,2000
Bhavnagar,5,Cities,5200,2000
Bhilai,5,Cities,5200,2000
Bhilwara,5,Cities,5200,2000
Bhiwandi,5,Cities,5200,2000
Białystok,5,Cities,5200,2000
Bijapur,5,Cities,5200,2000
Bikaner,5,Cities,5200,2000
"Bilaspur, Chhattisgarh",5,Cities,5200,2000
Biratnagar,5,Cities,5200,2000
Birgunj,5,Cities,5200,2000
Birjand,5,Cities,5200,2000
Biên Hòa,5,Cities,5200,2000
Bogor,5,Cities,5200,2000
Bogra,5,Cities,5200,2000
Bojnord,5,Cities,5200,2000
Bokaro Steel City,5,Cities,5200,2000
Brahmanbaria,5,Cities,5200,2000
Brașov,5,Cities,5200,2000
"Brest, Belarus",5,Cities,5200,2000
Brno,5,Cities,5200,2000
Bryansk,5,Cities,5200,2000
Buraidah,5,Cities,5200,2000
Burgas,5,Cities,5200,2000
Bushehr,5,Cities,5200,2000
Butuan,5,Cities,5200,2000
Buôn Ma Thuột,5,Cities,5200,2000
Bydgoszcz,5,Cities,5200,2000
Bắc Ninh,5,Cities,5200,2000
Cagayan de Oro,5,Cities,5200,2000
Calicut,5,Cities,5200,2000
Caloocan,5,Cities,5200,2000
Chandrapur,5,Cities,5200,2000
Changwon,5,Cities,5200,2000
Cheonan,5,Cities,5200,2000
Cheongju,5,Cities,5200,2000
Chiang Rai,5,Cities,5200,2000
Chiayi,5,Cities,5200,2000
Chiba (city),5,Cities,5200,2000
"Chiyoda, Tokyo",5,Cities,5200,2000
Chișinău,5,Cities,5200,2000
Chongjin,5,Cities,5200,2000
Chuncheon,5,Cities,5200,2000
Cilegon,5,Cities,5200,2000
Cluj-Napoca,5,Cities,5200,2000
Comilla,5,Cities,5200,2000
Constanța,5,Cities,5200,2000
Cox's Bazar,5,Cities,5200,2000
Craiova,5,Cities,5200,2000
Cuttack,5,Cities,5200,2000
Częstochowa,5,Cities,5200,2000
Cà Mau,5,Cities,5200,2000
Cần Thơ,5,Cities,5200,2000
Da Lat,5,Cities,5200,2000
Dali City,5,Cities,5200,2000
Dammam,5,Cities,5200,2000
Darjeeling,5,Cities,5200,2000
Davanagere,5,Cities,5200,2000
Debrecen,5,Cities,5200,2000
Dehiwala-Mount Lavinia,5,Cities,5200,2000
Dehradun,5,Cities,5200,2000
Deir ez-Zor,5,Cities,5200,2000
Denizli,5,Cities,5200,2000
Denpasar,5,Cities,5200,2000
Depok,5,Cities,5200,2000
Dera Ghazi Khan,5,Cities,5200,2000
Derbent,5,Cities,5200,2000
Dezful,5,Cities,5200,2000
"Dhamar, Yemen",5,Cities,5200,2000
Dhanbad,5,Cities,5200,2000
Dharamshala,5,Cities,5200,2000
Dhule,5,Cities,5200,2000
Dili,5,Cities,5200,2000
Dimapur,5,Cities,5200,2000
Dinajpur,5,Cities,5200,2000
Diyarbakır,5,Cities,5200,2000
Dubrovnik,5,Cities,5200,2000
Duhok,5,Cities,5200,2000
Durgapur,5,Cities,5200,2000
Durrës,5,Cities,5200,2000
Dwarka,5,Cities,5200,2000
East Jerusalem,5,Cities,5200,2000
Edirne,5,Cities,5200,2000
Eilat,5,Cities,5200,2000
Eluru,5,Cities,5200,2000
Erdenet,5,Cities,5200,2000
Erode,5,Cities,5200,2000
Erzurum,5,Cities,5200,2000
Eskişehir,5,Cities,5200,2000
Eslamshahr,5,Cities,5200,2000
Fallujah,5,Cities,5200,2000
Faridabad,5,Cities,5200,2000
Firozabad,5,Cities,5200,2000
Fukui (city),5,Cities,5200,2000
Fukushima (city),5,Cities,5200,2000
"Fukuyama, Hiroshima",5,Cities,5200,2000
Funabashi,5,Cities,5200,2000
Galați,5,Cities,5200,2000
Galle,5,Cities,5200,2000
Gandhinagar,5,Cities,5200,2000
Gangtok,5,Cities,5200,2000
"Ganja, Azerbaijan",5,Cities,5200,2000
"Gaya, India",5,Cities,5200,2000
Gaza City,5,Cities,5200,2000
Gazipur,5,Cities,5200,2000
Gdynia,5,Cities,5200,2000
General Santos,5,Cities,5200,2000
"George Town, Penang",5,Cities,5200,2000
Ghaziabad,5,Cities,5200,2000
Ghazni,5,Cities,5200,2000
Gifu,5,Cities,5200,2000
"Golestan, Tehran",5,Cities,5200,2000
Gomel,5,Cities,5200,2000
Gorakhpur,5,Cities,5200,2000
Gorgan,5,Cities,5200,2000
Gorontalo (city),5,Cities,5200,2000
Goyang,5,Cities,5200,2000
Grodno,5,Cities,5200,2000
Grozny,5,Cities,5200,2000
Guiyang,5,Cities,5200,2000
"Gujrat, Pakistan",5,Cities,5200,2000
"Gumi, North Gyeongsang",5,Cities,5200,2000
Gunsan,5,Cities,5200,2000
Guntur,5,Cities,5200,2000
Gurgaon,5,Cities,5200,2000
Gwalior,5,Cities,5200,2000
Gwangju,5,Cities,5200,2000
Gyeongju,5,Cities,5200,2000
Gyumri,5,Cities,5200,2000
Hachinohe,5,Cities,5200,2000
Hafar al-Batin,5,Cities,5200,2000
Haifa,5,Cities,5200,2000
Hakodate,5,Cities,5200,2000
Hama,5,Cities,5200,2000
Hamadan,5,Cities,5200,2000
Hamamatsu,5,Cities,5200,2000
Hamhung,5,Cities,5200,2000
Haridwar,5,Cities,5200,2000
Hat Yai,5,Cities,5200,2000
Hebron,5,Cities,5200,2000
Hillah,5,Cities,5200,2000
Himeji,5,Cities,5200,2000
Hodeidah,5,Cities,5200,2000
Hofuf,5,Cities,5200,2000
Homs,5,Cities,5200,2000
Hong Kong Island,5,Cities,5200,2000
Howrah,5,Cities,5200,2000
Hsinchu,5,Cities,5200,2000
Hubli,5,Cities,5200,2000
Hubli–Dharwad,5,Cities,5200,2000
Huế (provincial city),5,Cities,5200,2000
Hạ Long,5,Cities,5200,2000
Hải Dương,5,Cities,5200,2000
Iași,5,Cities,5200,2000
Idlib,5,Cities,5200,2000
Iksan,5,Cities,5200,2000
"Ilam, Iran",5,Cities,5200,2000
Iligan,5,Cities,5200,2000
Iloilo City,5,Cities,5200,2000
Imphal,5,Cities,5200,2000
Imus,5,Cities,5200,2000
Incheon,5,Cities,5200,2000
Ipoh,5,Cities,5200,2000
Irbid,5,Cities,5200,2000
Irkutsk,5,Cities,5200,2000
Ivanovo,5,Cities,5200,2000
"Iwaki, Fukushima",5,Cities,5200,2000
Izhevsk,5,Cities,5200,2000
Jabalpur,5,Cities,5200,2000
Jaffna,5,Cities,5200,2000
Jalalabad,5,Cities,5200,2000
Jalandhar,5,Cities,5200,2000
Jalgaon,5,Cities,5200,2000
Jalpaiguri,5,Cities,5200,2000
Jambi (city),5,Cities,5200,2000
Jammu,5,Cities,5200,2000
Jamnagar,5,Cities,5200,2000
Jamshedpur,5,Cities,5200,2000
Jayapura,5,Cities,5200,2000
Jeju City,5,Cities,5200,2000
Jeonju,5,Cities,5200,2000
Jessore,5,Cities,5200,2000
Jhang,5,Cities,5200,2000
Jhansi,5,Cities,5200,2000
Jiuquan,5,Cities,5200,2000
Jubail,5,Cities,5200,2000
Junagadh,5,Cities,5200,2000
Kadapa,5,Cities,5200,2000
Kaesong,5,Cities,5200,2000
Kagoshima,5,Cities,5200,2000
Kahramanmaraş,5,Cities,5200,2000
Kakinada,5,Cities,5200,2000
Kalaburagi,5,Cities,5200,2000
Kaliningrad,5,Cities,5200,2000
Kalmunai,5,Cities,5200,2000
Kalyan-Dombivli,5,Cities,5200,2000
Kamarhati,5,Cities,5200,2000
Kanazawa,5,Cities,5200,2000
Kanchipuram,5,Cities,5200,2000
Kandy,5,Cities,5200,2000
Kangar,5,Cities,5200,2000
Karaj,5,Cities,5200,2000
Karbala,5,Cities,5200,2000
Kashan,5,Cities,5200,2000
Kashgar,5,Cities,5200,2000
Kasur,5,Cities,5200,2000
Katowice,5,Cities,5200,2000
"Kawasaki, Kanagawa",5,Cities,5200,2000
Kayseri,5,Cities,5200,2000
Keelung,5,Cities,5200,2000
Kemerovo,5,Cities,5200,2000
Kendari,5,Cities,5200,2000
Kerman,5,Cities,5200,2000
Khabarovsk,5,Cities,5200,2000
Khamis Mushait,5,Cities,5200,2000
Khammam,5,Cities,5200,2000
Khasab,5,Cities,5200,2000
Khobar,5,Cities,5200,2000
Khomeynishahr,5,Cities,5200,2000
Khorramabad,5,Cities,5200,2000
Khulna,5,Cities,5200,2000
Kielce,5,Cities,5200,2000
Kirkuk,5,Cities,5200,2000
Kitakyushu,5,Cities,5200,2000
Kochi,5,Cities,5200,2000
Kolhapur,5,Cities,5200,2000
Kollam,5,Cities,5200,2000
Konya,5,Cities,5200,2000
"Korba, Chhattisgarh",5,Cities,5200,2000
"Kota, Rajasthan",5,Cities,5200,2000
Kota Bharu,5,Cities,5200,2000
Kota Kinabalu,5,Cities,5200,2000
Kowloon,5,Cities,5200,2000
Košice,5,Cities,5200,2000
Krasnodar,5,Cities,5200,2000
Krasnoyarsk,5,Cities,5200,2000
Kuala Terengganu,5,Cities,5200,2000
Kuantan,5,Cities,5200,2000
Kuching,5,Cities,5200,2000
Kumamoto,5,Cities,5200,2000
Kunduz,5,Cities,5200,2000
Kupang,5,Cities,5200,2000
"Kure, Hiroshima",5,Cities,5200,2000
Kurnool,5,Cities,5200,2000
Kursk,5,Cities,5200,2000
Kurume,5,Cities,5200,2000
Kushtia,5,Cities,5200,2000
Kut,5,Cities,5200,2000
"Kōchi, Kōchi",5,Cities,5200,2000
Kōriyama,5,Cities,5200,2000
"Lalitpur, Nepal",5,Cities,5200,2000
Larkana,5,Cities,5200,2000
Larnaca,5,Cities,5200,2000
Las Piñas,5,Cities,5200,2000
Lashkargah,5,Cities,5200,2000
Latakia,5,Cities,5200,2000
Latur,5,Cities,5200,2000
Leshan,5,Cities,5200,2000
Lhasa (prefecture-level city),5,Cities,5200,2000
Limassol,5,Cities,5200,2000
Lipetsk,5,Cities,5200,2000
Long Xuyên,5,Cities,5200,2000
"Loni, Ghaziabad",5,Cities,5200,2000
Luang Prabang,5,Cities,5200,2000
Lublin,5,Cities,5200,2000
Lucena,5,Cities,5200,2000
Luzhou,5,Cities,5200,2000
Maebashi,5,Cities,5200,2000
Magnitogorsk,5,Cities,5200,2000
Maheshtala,5,Cities,5200,2000
Makati,5,Cities,5200,2000
Makhachkala,5,Cities,5200,2000
Malabon,5,Cities,5200,2000
Malacca City,5,Cities,5200,2000
Malard,5,Cities,5200,2000
Malatya,5,Cities,5200,2000
Malegaon,5,Cities,5200,2000
Malé,5,Cities,5200,2000
Manado,5,Cities,5200,2000
Manama,5,Cities,5200,2000
Manbij,5,Cities,5200,2000
Mandaluyong,5,Cities,5200,2000
Mandaue,5,Cities,5200,2000
Mangaluru,5,Cities,5200,2000
Mardan,5,Cities,5200,2000
Marikina,5,Cities,5200,2000
Mataram (city),5,Cities,5200,2000
Mathura,5,Cities,5200,2000
Matsuyama,5,Cities,5200,2000
Mawlamyine,5,Cities,5200,2000
Mazar-i-Sharif,5,Cities,5200,2000
Meerut,5,Cities,5200,2000
Mersin,5,Cities,5200,2000
Mianyang,5,Cities,5200,2000
Mingora,5,Cities,5200,2000
Mira-Bhayandar,5,Cities,5200,2000
"Mito, Ibaraki",5,Cities,5200,2000
Miyazaki (city),5,Cities,5200,2000
Mogilev,5,Cities,5200,2000
Monywa,5,Cities,5200,2000
Moradabad,5,Cities,5200,2000
Moratuwa,5,Cities,5200,2000
Morioka,5,Cities,5200,2000
Muntinlupa,5,Cities,5200,2000
Murmansk,5,Cities,5200,2000
Muzaffarnagar,5,Cities,5200,2000
Muzaffarpur,5,Cities,5200,2000
Myitkyina,5,Cities,5200,2000
Mymensingh,5,Cities,5200,2000
Mỹ Tho,5,Cities,5200,2000
Nagano (city),5,Cities,5200,2000
Nagasaki,5,Cities,5200,2000
Naha,5,Cities,5200,2000
Najaf,5,Cities,5200,2000
Najran,5,Cities,5200,2000
Nakhon Ratchasima,5,Cities,5200,2000
Nakhon Si Thammarat,5,Cities,5200,2000
Nampo,5,Cities,5200,2000
Nanchong,5,Cities,5200,2000
Nanded,5,Cities,5200,2000
Nara (city),5,Cities,5200,2000
Narayanganj,5,Cities,5200,2000
Nashik,5,Cities,5200,2000
Nasiriyah,5,Cities,5200,2000
Navi Mumbai,5,Cities,5200,2000
Navotas,5,Cities,5200,2000
Naypyidaw,5,Cities,5200,2000
Nazareth,5,Cities,5200,2000
Negombo,5,Cities,5200,2000
Nellore,5,Cities,5200,2000
New Delhi,5,Cities,5200,2000
New Taipei City,5,Cities,5200,2000
New Territories,5,Cities,5200,2000
Nha Trang,5,Cities,5200,2000
Nicosia,5,Cities,5200,2000
Niigata (city),5,Cities,5200,2000
Nishapur,5,Cities,5200,2000
"Nizamabad, Telangana",5,Cities,5200,2000
Niš,5,Cities,5200,2000
Noida,5,Cities,5200,2000
Nonthaburi,5,Cities,5200,2000
Norilsk,5,Cities,5200,2000
Novi Sad,5,Cities,5200,2000
Novokuznetsk,5,Cities,5200,2000
"Okara, Pakistan",5,Cities,5200,2000
Okayama,5,Cities,5200,2000
"Okazaki, Aichi",5,Cities,5200,2000
Old City of Jerusalem,5,Cities,5200,2000
Olongapo,5,Cities,5200,2000
Olsztyn,5,Cities,5200,2000
Orenburg,5,Cities,5200,2000
Ostrava,5,Cities,5200,2000
Paju,5,Cities,5200,2000
Pakdasht,5,Cities,5200,2000
Pakse,5,Cities,5200,2000
Palangka Raya,5,Cities,5200,2000
Palu,5,Cities,5200,2000
Panaji,5,Cities,5200,2000
Pangkalpinang,5,Cities,5200,2000
Panihati,5,Cities,5200,2000
Panzhihua,5,Cities,5200,2000
Parañaque,5,Cities,5200,2000
Parbhani,5,Cities,5200,2000
Pasay,5,Cities,5200,2000
Pasig,5,Cities,5200,2000
Patiala,5,Cities,5200,2000
Pattaya,5,Cities,5200,2000
Pekanbaru,5,Cities,5200,2000
"Perm, Russia",5,Cities,5200,2000
Petah Tikva,5,Cities,5200,2000
Petaling Jaya,5,Cities,5200,2000
Petropavlovsk-Kamchatsky,5,Cities,5200,2000
Petrozavodsk,5,Cities,5200,2000
Phan Thiết,5,Cities,5200,2000
Phuket (city),5,Cities,5200,2000
Pimpri-Chinchwad,5,Cities,5200,2000
Plovdiv,5,Cities,5200,2000
Plzeň,5,Cities,5200,2000
Pohang,5,Cities,5200,2000
Poipet,5,Cities,5200,2000
Pokhara,5,Cities,5200,2000
Pondicherry,5,Cities,5200,2000
Pontianak,5,Cities,5200,2000
Puerto Princesa,5,Cities,5200,2000
Puli Khumri,5,Cities,5200,2000
Pyatigorsk,5,Cities,5200,2000
Pyeongtaek,5,Cities,5200,2000
Qaem Shahr,5,Cities,5200,2000
Qarchak,5,Cities,5200,2000
Qatif,5,Cities,5200,2000
"Qods, Iran",5,Cities,5200,2000
Quetta,5,Cities,5200,2000
Qujing,5,Cities,5200,2000
Quy Nhon,5,Cities,5200,2000
Rahim Yar Khan,5,Cities,5200,2000
Rajahmundry,5,Cities,5200,2000
Rajarhat,5,Cities,5200,2000
Rajkot,5,Cities,5200,2000
Rajpur Sonarpur,5,Cities,5200,2000
Rajshahi,5,Cities,5200,2000
Ramadi,5,Cities,5200,2000
Ramallah,5,Cities,5200,2000
"Rampur, Uttar Pradesh",5,Cities,5200,2000
"Rangpur, Bangladesh",5,Cities,5200,2000
Raqqa,5,Cities,5200,2000
Rasht,5,Cities,5200,2000
Rason,5,Cities,5200,2000
Rishikesh,5,Cities,5200,2000
Rishon LeZion,5,Cities,5200,2000
Rohtak,5,Cities,5200,2000
Rourkela,5,Cities,5200,2000
"Ruse, Bulgaria",5,Cities,5200,2000
Russeifa,5,Cities,5200,2000
Ryazan,5,Cities,5200,2000
Rzeszów,5,Cities,5200,2000
Rạch Giá,5,Cities,5200,2000
Sabzevar,5,Cities,5200,2000
Saga (city),5,Cities,5200,2000
Sagamihara,5,Cities,5200,2000
Saharanpur,5,Cities,5200,2000
Sahiwal,5,Cities,5200,2000
Saitama (city),5,Cities,5200,2000
Sakai,5,Cities,5200,2000
Salalah,5,Cities,5200,2000
"Salem, Tamil Nadu",5,Cities,5200,2000
Samarinda,5,Cities,5200,2000
Sambalpur,5,Cities,5200,2000
Samsun,5,Cities,5200,2000
"San Juan, Metro Manila",5,Cities,5200,2000
Sanandaj,5,Cities,5200,2000
Sangli Metropolitan Region,5,Cities,5200,2000
Saratov,5,Cities,5200,2000
Sargodha,5,Cities,5200,2000
"Sari, Iran",5,Cities,5200,2000
Sasebo,5,Cities,5200,2000
Satara (city),5,Cities,5200,2000
Savannakhet,5,Cities,5200,2000
Savar,5,Cities,5200,2000
Sejong City,5,Cities,5200,2000
"Semnan, Iran",5,Cities,5200,2000
Seongnam,5,Cities,5200,2000
Serang,5,Cities,5200,2000
Serei Saophoan (city),5,Cities,5200,2000
Seremban,5,Cities,5200,2000
Shah Alam,5,Cities,5200,2000
Shahjahanpur,5,Cities,5200,2000
Shahr-e Kord,5,Cities,5200,2000
"Shahriar, Tehran province",5,Cities,5200,2000
Sharjah,5,Cities,5200,2000
Sheikhupura,5,Cities,5200,2000
Shimla,5,Cities,5200,2000
Shimoga,5,Cities,5200,2000
Shimonoseki,5,Cities,5200,2000
Shizuoka (city),5,Cities,5200,2000
Sialkot,5,Cities,5200,2000
Siddhirganj,5,Cities,5200,2000
Sidon,5,Cities,5200,2000
Siem Reap,5,Cities,5200,2000
Sihanoukville,5,Cities,5200,2000
Siliguri,5,Cities,5200,2000
Sinuiju,5,Cities,5200,2000
Sirajganj,5,Cities,5200,2000
Sirjan,5,Cities,5200,2000
Sochi,5,Cities,5200,2000
Solapur,5,Cities,5200,2000
Sorong,5,Cities,5200,2000
South Dum Dum,5,Cities,5200,2000
South Tangerang,5,Cities,5200,2000
"Split, Croatia",5,Cities,5200,2000
Sri Jayawardenepura Kotte,5,Cities,5200,2000
Stavropol,5,Cities,5200,2000
Sukhumi,5,Cities,5200,2000
Sukkur,5,Cities,5200,2000
Sulaymaniyah,5,Cities,5200,2000
Suncheon,5,Cities,5200,2000
Surakarta,5,Cities,5200,2000
Surgut,5,Cities,5200,2000
Suwon,5,Cities,5200,2000
Syktyvkar,5,Cities,5200,2000
Szczecin,5,Cities,5200,2000
Szeged,5,Cities,5200,2000
Székesfehérvár,5,Cities,5200,2000
Ta Khmau municipality,5,Cities,5200,2000
"Tabuk, Saudi Arabia",5,Cities,5200,2000
Tacloban,5,Cities,5200,2000
Taguig,5,Cities,5200,2000
Taif,5,Cities,5200,2000
Tainan,5,Cities,5200,2000
Taiz,5,Cities,5200,2000
Takamatsu,5,Cities,5200,2000
Takasaki,5,Cities,5200,2000
Taloqan,5,Cities,5200,2000
Tam Kỳ,5,Cities,5200,2000
Tangail,5,Cities,5200,2000
Tangerang,5,Cities,5200,2000
Tanjungpinang,5,Cities,5200,2000
"Taoyuan, Taiwan",5,Cities,5200,2000
Tarakan,5,Cities,5200,2000
Tartus,5,Cities,5200,2000
Taunggyi,5,Cities,5200,2000
Ternate,5,Cities,5200,2000
Thane,5,Cities,5200,2000
Thimphu,5,Cities,5200,2000
Thrissur,5,Cities,5200,2000
Thái Bình,5,Cities,5200,2000
Thái Nguyên,5,Cities,5200,2000
Thủ Dầu Một,5,Cities,5200,2000
Tianshui,5,Cities,5200,2000
Tiberias,5,Cities,5200,2000
Timișoara,5,Cities,5200,2000
Tirana,5,Cities,5200,2000
Tiraspol,5,Cities,5200,2000
Tiruchirappalli,5,Cities,5200,2000
Tirunelveli,5,Cities,5200,2000
Tirupati,5,Cities,5200,2000
Tiruppur,5,Cities,5200,2000
Tokushima (city),5,Cities,5200,2000
Tolyatti,5,Cities,5200,2000
Tomsk,5,Cities,5200,2000
Tongi,5,Cities,5200,2000
Toyama (city),5,Cities,5200,2000
Toyohashi,5,Cities,5200,2000
"Toyota, Aichi",5,Cities,5200,2000
"Tripoli, Lebanon",5,Cities,5200,2000
"Tsu, Mie",5,Cities,5200,2000
"Tula, Russia",5,Cities,5200,2000
Tumkur,5,Cities,5200,2000
Tver,5,Cities,5200,2000
Tyumen,5,Cities,5200,2000
Udaipur,5,Cities,5200,2000
Ujjain,5,Cities,5200,2000
Ulan-Ude,5,Cities,5200,2000
Ulhasnagar,5,Cities,5200,2000
Ulsan,5,Cities,5200,2000
Ulyanovsk,5,Cities,5200,2000
Urfa,5,Cities,5200,2000
Urmia,5,Cities,5200,2000
Utsunomiya,5,Cities,5200,2000
Uzhavarkarai,5,Cities,5200,2000
"Valenzuela, Metro Manila",5,Cities,5200,2000
"Van, Turkey",5,Cities,5200,2000
Varamin,5,Cities,5200,2000
"Varna, Bulgaria",5,Cities,5200,2000
Vasai-Virar,5,Cities,5200,2000
Veliky Novgorod,5,Cities,5200,2000
Vijayawada,5,Cities,5200,2000
Vinh,5,Cities,5200,2000
Vitebsk,5,Cities,5200,2000
Việt Trì,5,Cities,5200,2000
Vladikavkaz,5,Cities,5200,2000
Vologda,5,Cities,5200,2000
Voronezh,5,Cities,5200,2000
Vũng Tàu,5,Cities,5200,2000
Wah Cantonment,5,Cities,5200,2000
Wakayama (city),5,Cities,5200,2000
Warangal,5,Cities,5200,2000
Wonju,5,Cities,5200,2000
Wonsan,5,Cities,5200,2000
